APPEND: Start: 2723650667, End: 2734104042, Latency: 10453375 µs
GET: Start: 2734164250, End: 2744400708, Latency: 10236458 µs
APPEND: Start: 2744452125, End: 2754694458, Latency: 10242333 µs
APPEND: Start: 2754740708, End: 2765128167, Latency: 10387459 µs
APPEND: Start: 2765190792, End: 2775525500, Latency: 10334708 µs
GET: Start: 2775575875, End: 2785809958, Latency: 10234083 µs
APPEND: Start: 2785855458, End: 2796272333, Latency: 10416875 µs
GET: Start: 2796322958, End: 2806645417, Latency: 10322459 µs
GET: Start: 2806698292, End: 2817044750, Latency: 10346458 µs
GET: Start: 2817095125, End: 2827358333, Latency: 10263208 µs
GET: Start: 2827399667, End: 2837661500, Latency: 10261833 µs
APPEND: Start: 2837706583, End: 2848020333, Latency: 10313750 µs
GET: Start: 2848061500, End: 2858311833, Latency: 10250333 µs
APPEND: Start: 2858358583, End: 2869060917, Latency: 10702334 µs
APPEND: Start: 2869114917, End: 2879425917, Latency: 10311000 µs
APPEND: Start: 2879469833, End: 2889714292, Latency: 10244459 µs
APPEND: Start: 2889768417, End: 2900100917, Latency: 10332500 µs
GET: Start: 2900152542, End: 2910499917, Latency: 10347375 µs
APPEND: Start: 2910546375, End: 2920816583, Latency: 10270208 µs
APPEND: Start: 2920884792, End: 2931197000, Latency: 10312208 µs
GET: Start: 2931253500, End: 2941585250, Latency: 10331750 µs
GET: Start: 2941627333, End: 2951853458, Latency: 10226125 µs
APPEND: Start: 2951897500, End: 2962130083, Latency: 10232583 µs
APPEND: Start: 2962178417, End: 2972465542, Latency: 10287125 µs
GET: Start: 2972516750, End: 2982907750, Latency: 10391000 µs
GET: Start: 2982966167, End: 2993302167, Latency: 10336000 µs
GET: Start: 2993344875, End: 3003615208, Latency: 10270333 µs
GET: Start: 3003666042, End: 3013956750, Latency: 10290708 µs
GET: Start: 3014006083, End: 3024402708, Latency: 10396625 µs
APPEND: Start: 3024458542, End: 3034717083, Latency: 10258541 µs
GET: Start: 3034773917, End: 3045224333, Latency: 10450416 µs
GET: Start: 3045265167, End: 3055609500, Latency: 10344333 µs
GET: Start: 3055652833, End: 3065878083, Latency: 10225250 µs
GET: Start: 3065929417, End: 3076223167, Latency: 10293750 µs
GET: Start: 3076281208, End: 3086600167, Latency: 10318959 µs
GET: Start: 3086643167, End: 3097022250, Latency: 10379083 µs
APPEND: Start: 3097066292, End: 3107357042, Latency: 10290750 µs
GET: Start: 3107400292, End: 3117702542, Latency: 10302250 µs
GET: Start: 3117753208, End: 3128086750, Latency: 10333542 µs
APPEND: Start: 3128129708, End: 3138375000, Latency: 10245292 µs
APPEND: Start: 3138465958, End: 3148736792, Latency: 10270834 µs
GET: Start: 3148780667, End: 3159217625, Latency: 10436958 µs
APPEND: Start: 3159265625, End: 3169560333, Latency: 10294708 µs
APPEND: Start: 3169610375, End: 3179896542, Latency: 10286167 µs
APPEND: Start: 3179946458, End: 3190311625, Latency: 10365167 µs
GET: Start: 3190390333, End: 3200725833, Latency: 10335500 µs
APPEND: Start: 3200788833, End: 3211129167, Latency: 10340334 µs
APPEND: Start: 3211184458, End: 3221593292, Latency: 10408834 µs
APPEND: Start: 3221645000, End: 3231923792, Latency: 10278792 µs
APPEND: Start: 3231980458, End: 3242329208, Latency: 10348750 µs
GET: Start: 3242386625, End: 3252785208, Latency: 10398583 µs
APPEND: Start: 3252827792, End: 3263097833, Latency: 10270041 µs
GET: Start: 3263162458, End: 3273485625, Latency: 10323167 µs
APPEND: Start: 3273545250, End: 3283889750, Latency: 10344500 µs
GET: Start: 3283941000, End: 3294308958, Latency: 10367958 µs
APPEND: Start: 3294351458, End: 3304703292, Latency: 10351834 µs
GET: Start: 3304748917, End: 3315317625, Latency: 10568708 µs
GET: Start: 3315433542, End: 3325707375, Latency: 10273833 µs
GET: Start: 3325754917, End: 3336086792, Latency: 10331875 µs
APPEND: Start: 3336132958, End: 3346459583, Latency: 10326625 µs
APPEND: Start: 3346503542, End: 3356791750, Latency: 10288208 µs
APPEND: Start: 3356842292, End: 3367187375, Latency: 10345083 µs
APPEND: Start: 3367251542, End: 3377594458, Latency: 10342916 µs
APPEND: Start: 3377646167, End: 3387915375, Latency: 10269208 µs
GET: Start: 3387962667, End: 3398275708, Latency: 10313041 µs
GET: Start: 3398336208, End: 3408679958, Latency: 10343750 µs
APPEND: Start: 3408724583, End: 3419050125, Latency: 10325542 µs
GET: Start: 3419089667, End: 3429377500, Latency: 10287833 µs
GET: Start: 3429416083, End: 3439651875, Latency: 10235792 µs
APPEND: Start: 3439700708, End: 3449982625, Latency: 10281917 µs
GET: Start: 3450019125, End: 3460357667, Latency: 10338542 µs
APPEND: Start: 3460410750, End: 3470732542, Latency: 10321792 µs
APPEND: Start: 3470783583, End: 3481026542, Latency: 10242959 µs
GET: Start: 3481079250, End: 3491370167, Latency: 10290917 µs
APPEND: Start: 3491419833, End: 3501828500, Latency: 10408667 µs
APPEND: Start: 3501880542, End: 3512179875, Latency: 10299333 µs
APPEND: Start: 3512239833, End: 3522554375, Latency: 10314542 µs
